ACC No,Species
ACKU00000000,1
CP014332,1
FMAO00000000,1
FMAW00000000,1
BJDT00000000,1
JQAY00000000,1
AEKT01000001,1
JQAX00000000,1
ANCA00000000,1
NZ_JAFBEO000000000.1,1
JQCD00000000,1
JQBM00000000,1
SDGZ00000000,1
BAWR00000000,1
QRAS00000000,1
CP060724,1
AKGG00000000,1
JQBP00000000,1
CP037940,1
NZ_JAFBDN000000000.1,1
JAAXPN000000000,1
W.ghanensis_LMG_24286,1
W.fabaria_LMG_24289,1
JQCB00000000,1
GCA_009863985.1,1
AZFF00000000,1
JQAU00000000,1
AYYY00000000,1
AZEJ00000000,1
AZCP00000000,1
AYYR00000000,1
AZDM00000000,1
AZDS00000000,1
AZCK00000000,1
GCA_023380205.1,1
CP034726,1
AXCV00000000,1
AFVZ00000000,1
CP029684,1
CP000411,1
QEKT00000000,1
JQBH00000000,1
FOLI00000000,1
BBXQ00000000,1
FNWS00000000,1
BBXT00000000,1
AEIZ00000000,1
CAKV00000000,1
BMBS01000000,1
SDGY00000000,1
CP015247,1
CP014611,1
CP012009,1
ACKV00000000,1
CP003851,1
DQ489736,1
JAAXPO000000000,1
AEGQ00000000,1
NZ_JAFBEK000000000.1,1
CP001753,1
AEMI00000000,1
FN822744,1
AEMJ00000000,1
